fish_number,alx4a_line,phenotype,pigment_cell_type,dorsal_cell_counts,date_melanophore
1,4bp del,WT,melanophores,,2019-11-05
2,4bp del,WT,melanophores,,2019-11-05
3,4bp del,WT,melanophores,,2019-11-05
4,4bp del,WT,melanophores,,2019-11-05
5,4bp del,WT,melanophores,,2019-11-05
6,4bp del,WT,melanophores,,2019-11-05
7,4bp del,WT,melanophores,,2019-11-05
8,4bp del,WT,melanophores,,2019-11-05
9,4bp del,WT,melanophores,,2019-11-05
10,4bp del,WT,melanophores,,2019-11-05
11,4bp del,WT,melanophores,,2019-11-05
12,4bp del,WT,melanophores,,2019-11-05
1,8bp insert,WT,melanophores,100,2019-11-05
2,8bp insert,WT,melanophores,,2019-11-05
3,8bp insert,WT,melanophores,,2019-11-05
4,8bp insert,WT,melanophores,,2019-11-05
5,8bp insert,WT,melanophores,,2019-11-05
6,8bp insert,WT,melanophores,,2019-11-05
7,8bp insert,WT,melanophores,,2019-11-05
8,8bp insert,WT,melanophores,,2019-11-05
9,8bp insert,WT,melanophores,,2019-11-05
10,8bp insert,WT,melanophores,,2019-11-05
11,8bp insert,WT,melanophores,,2019-11-05
12,8bp insert,WT,melanophores,,2019-11-05
1,4bp del,Mut,melanophores,,2019-11-05
2,4bp del,Mut,melanophores,,2019-11-05
3,4bp del,Mut,melanophores,,2019-11-05
4,4bp del,Mut,melanophores,,2019-11-05
5,4bp del,Mut,melanophores,,2019-11-05
6,4bp del,Mut,melanophores,,2019-11-05
7,4bp del,Mut,melanophores,,2019-11-05
8,4bp del,Mut,melanophores,,2019-11-05
9,4bp del,Mut,melanophores,,2019-11-05
10,4bp del,Mut,melanophores,,2019-11-05
11,4bp del,Mut,melanophores,,2019-11-05
12,4bp del,Mut,melanophores,,2019-11-05
1,8bp insert,Mut,melanophores,120,2019-11-05
2,8bp insert,Mut,melanophores,,2019-11-05
3,8bp insert,Mut,melanophores,,2019-11-05
4,8bp insert,Mut,melanophores,,2019-11-05
5,8bp insert,Mut,melanophores,,2019-11-05
6,8bp insert,Mut,melanophores,,2019-11-05
7,8bp insert,Mut,melanophores,,2019-11-05
8,8bp insert,Mut,melanophores,,2019-11-05
9,8bp insert,Mut,melanophores,,2019-11-05
10,8bp insert,Mut,melanophores,,2019-11-05
11,8bp insert,Mut,melanophores,,2019-11-05
12,8bp insert,Mut,melanophores,,2019-11-05
